X,Y,fid,Surveyed,Shape,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Height,Length,Width,User,Date Time,Shifted,Feature Owner,Structure_ID,Comments,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Feature_Type,icon_url
-95.3544489375144,44.7869040641023,20,,,,,,,,,,,,2023/03/17 16:19:15,0,,"626",,,,,,,Storm Inlet,./0.png
-95.3548294397949,44.7869018006253,21,,,,,,,,,,,,2023/03/17 16:19:15,0,,"628",,,,,,,Storm Inlet,./0.png
-95.3559927586207,44.786896644803,22,,,,,,,,,,,,2023/03/17 16:19:15,0,,"630",,,,,,,Storm Inlet,./0.png
-95.3563768179209,44.7868951710465,23,,,,,,,,,,,,2023/03/17 16:19:15,0,,"632",,,,,,,Storm Inlet,./0.png
-95.3576136755882,44.7869602073814,24,,,,,,,,,,,,2023/03/17 16:19:15,0,,"635",,,,,,,Storm Inlet,./0.png
-95.357685619027,44.7869661834593,25,,,,,,,,,,,,2023/03/17 16:19:15,0,,"636",,,,,,,Storm Inlet,./0.png
-95.3578544190113,44.7867702159005,26,,,,,,,,,,,,2023/03/17 16:19:15,0,,"637",,,,,,,Storm Inlet,./0.png
-95.3577698919423,44.7867305530407,27,,,,,,,,,,,,2023/03/17 16:19:15,0,,"638",,,,,,,Storm Inlet,./0.png
-95.3576544446897,44.7867330728178,28,,,,,,,,,,,,2023/03/17 16:19:15,0,,"639",,,,,,,Storm Inlet,./0.png
-95.357855759443,44.7868858082478,29,,,,,,,,,,,,2023/03/17 16:19:15,0,,"641",,,,,,,Storm Inlet,./0.png
-95.3606342401934,44.7867743984868,30,,,,,,,,,,,,2023/03/17 16:19:15,0,,"648",,,,,,,Storm Inlet,./0.png
