X,Y,BLOCKNAME,CLASSNAME,icon_url
-95.3577248104554,44.7867046586521,MHE_16,MH,./0.png
-95.3591167358192,44.7868798940956,CBWOL_49,DI,./1.png
-95.3546775753095,44.7867224897131,MHE_14,MH,./0.png
-95.3562247134638,44.7867443462581,MHE_13,MH,./0.png
-95.3513303770401,44.7869274680373,CBWOL_38,DI,./1.png
-95.3528615830679,44.7867916755648,CBWOL_37,DI,./1.png
-95.3529000948162,44.7867914332521,CBWOL_36,DI,./1.png
-95.35286314822,44.7869178345002,CBWOL_35,DI,./1.png
-95.3529016600521,44.7869175921869,CBWOL_34,DI,./1.png
-95.3577269620467,44.7868768743,MHE_8,MH,./0.png
-95.354449043928,44.7869039534423,CBWOL_33,DI,./1.png
-95.35626780597,44.7868946014015,MHE_7,MH,./0.png
-95.3563785110952,44.7868940312236,CBWOL_32,DI,./1.png
-95.3560241978126,44.7868958557084,CBWOL_31,DI,./1.png
-95.3576142940305,44.7868876591442,MHE_6,MH,./0.png
-95.3606039808186,44.7867726691081,CBWOL_26,DI,./1.png
-95.35768556587,44.7869668314108,CBWOL_25,DI,./1.png
-95.3576161556999,44.786967189708,CBWOL_24,DI,./1.png
-95.3575454340311,44.7868880145591,CBWOL_23,DI,./1.png
-95.3562687954397,44.7869738789641,CBWOL_22,DI,./1.png
-95.3579113009083,44.7868861256937,CBWOL_21,DI,./1.png
-95.3579101279187,44.7867709356332,CBWOL_20,DI,./1.png
-95.3578158241546,44.7869647797754,DIE,MH,./0.png
-95.354677235111,44.7866950645669,PENAPR_4,,
-95.3562243885554,44.7867169210683,PENAPR_3,,
-95.3581192673332,44.7868850515009,CBWOL_18,DI,./1.png
-95.3578485083582,44.7867712538393,CBWOL_17,DI,./1.png
-95.3591155604349,44.7867647040475,CBWOL_16,DI,./1.png
-95.3576796278538,44.7870215227921,PENAPR_2,,
-95.3606442941863,44.7866655392022,APRCE_3,Culvert,./2.png
-95.3577243798219,44.7866772334399,PENAPR,,
-95.3533244839175,44.7869097214323,CBWOL_6,DI,./1.png
-95.3533233200397,44.7867945313255,CBWOL_5,DI,./1.png
-95.3578533359598,44.7870018876516,APRCE_2,Culvert,./2.png
-95.3578302330672,44.7870178614906,APRCE_1,Culvert,./2.png
-95.3575404105455,44.7867728443715,CBWOL_4,DI,./1.png
-95.3561073450573,44.7869749678148,CBWOL_3,DI,./1.png
-95.3560230285717,44.7867806656289,CBWOL_2,DI,./1.png
-95.3544478778162,44.7867887633468,CBWOL_1,DI,./1.png
-95.3581201638918,44.7869730641384,APRCE,Culvert,./2.png
-95.3578727886066,44.7868863245767,CBWOL,DI,./1.png
-95.3546790161894,44.7868890587077,MHE_2,MH,./0.png
-95.3562260305915,44.7868786342252,MHE,MH,./0.png
